"time_date","temperature","weather_con","comfort_feelslike","humidity","forecast","wind","humidity.1","location","visibility","pressure","dew_point"
2021-11-11 19:00:02,"25 °C","Drizzle. Fog.","Feels Like: 26 °CForecast: 28 / 24 °CWind: 26 km/h <U+2191> from Southeast","94%","Forecast: 28 / 24 °C","Feels Like: 26 °CForecast: 28 / 24 °CWind: 26 km/h <U+2191> from Southeast","94%","Madras / Minambakkam","3 km","999 mbar","24 °C"
2021-11-11 19:01:01, "25 °C", "Drizzle. Fog.", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 26 km/h <U+2191> from Southeast", "94%", "Forecast: 28 / 24 °C", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 26 km/h <U+2191> from Southeast", "94%", "Madras / Minambakkam", "3 km", "999 mbar", "24 °C"
2021-11-11 20:01:01, "25 °C", "Fog.", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 20 km/h <U+2191> from Southeast", "89%", "Forecast: 28 / 24 °C", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 20 km/h <U+2191> from Southeast", "89%", "Madras / Minambakkam", "5 km", "1002 mbar", "23 °C"
2021-11-11 21:01:01, "25 °C", "Light rain. Mostly cloudy.", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 19 km/h <U+2191> from Southeast", "94%", "Forecast: 28 / 24 °C", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 19 km/h <U+2191> from Southeast", "94%", "Madras / Minambakkam", "4 km", "1003 mbar", "24 °C"
2021-11-11 22:01:01, "25 °C", "Drizzle. Mostly cloudy.", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 7 km/h <U+2191> from South", "94%", "Forecast: 28 / 24 °C", "Feels Like: 26 °CForecast: 28 / 24 °CWind: 7 km/h <U+2191> from South", "94%", "Madras / Minambakkam", "4 km", "1005 mbar", "24 °C"
2021-11-11 23:01:09, "25 °C", "Drizzle. Mostly cloudy.", "Feels Like: 26 °CForecast: 27 / 24 °CWind: No wind", "94%", "Forecast: 27 / 24 °C", "Feels Like: 26 °CForecast: 27 / 24 °CWind: No wind", "94%", "Madras / Minambakkam", "4 km", "1005 mbar", "24 °C"
2021-11-12 00:01:10, "25 °C", "Fog.", "Feels Like: 26 °CForecast: 27 / 24 °CWind: No wind", "94%", "Forecast: 27 / 24 °C", "Feels Like: 26 °CForecast: 27 / 24 °CWind: No wind", "94%", "Madras / Minambakkam", "4 km", "1004 mbar", "24 °C"
2021-11-12 10:01:02, "27 °C", "Fog.", "Feels Like: 31 °CForecast: 29 / 24 °CWind: 4 km/h <U+2191> from North", "89%", "Forecast: 29 / 24 °C", "Feels Like: 31 °CForecast: 29 / 24 °CWind: 4 km/h <U+2191> from North", "89%", "Madras / Minambakkam", "3 km", "1007 mbar", "25 °C"
2021-11-12 11:01:02, "29 °C", "Fog.", "Feels Like: 35 °CForecast: 29 / 24 °CWind: 4 km/h <U+2191> from North", "79%", "Forecast: 29 / 24 °C", "Feels Like: 35 °CForecast: 29 / 24 °CWind: 4 km/h <U+2191> from North", "79%", "Madras / Minambakkam", "3 km", "1007 mbar", "25 °C"
2021-11-12 12:01:01, "29 °C", "Fog.", "Feels Like: 34 °CForecast: 29 / 24 °CWind: 9 km/h <U+2191> from South", "74%", "Forecast: 29 / 24 °C", "Feels Like: 34 °CForecast: 29 / 24 °CWind: 9 km/h <U+2191> from South", "74%", "Madras / Minambakkam", "4 km", "1006 mbar", "24 °C"
